metric,label,format,domain,higher_is_better,definition,formula,strategic_use,high_value_interpretation,low_value_interpretation,trend_interpretation,caveats,source_layer,module,display_in_dashboard,display_priority
days_cash_on_hand,Days cash on hand,number,Liquidity,True,Estimated number of days the facility could cover operating expenses using reported cash.,Cash / (operating expense / report days),Used to assess liquidity cushion and short-term financial resilience.,A higher value suggests more liquidity cushion.,A lower value may indicate financial fragility or limited cash reserves.,A declining trend can signal weakening liquidity even before margins become severely negative.,"Balance sheet values can be affected by timing, ownership structure, related parties, and accounting practices.",hcris_puf,liquidity,True,12
current_ratio,Current ratio,number,Liquidity,True,Current assets divided by current liabilities.,Current assets / current liabilities,Used to evaluate short-term ability to cover obligations due within a year.,A higher value generally suggests stronger short-term liquidity.,A lower value may signal near-term financial pressure or limited working capital.,A declining trend can indicate growing liquidity risk.,"Interpret with days cash, payables, accounts receivable, and ownership context.",hcris_puf,liquidity,True,13
days_accounts_receivable,Days accounts receivable,number,Liquidity,False,Estimated days of net patient revenue tied up in accounts receivable.,Accounts receivable / (net patient revenue / report days),"Used to assess billing, collection timing, and working-capital pressure.","A higher value may indicate slower collections, payer delays, or billing issues.",A lower value may suggest faster collections or a less receivables-intensive payer mix.,A rising trend can increase cash pressure even when reported revenue is stable.,Receivables can reflect timing and accounting practices; interpret with payer mix and revenue cycle context.,hcris_puf,liquidity,True,14
debt_to_assets,Debt to assets,percent,Solvency,False,Total liabilities as a share of total assets.,Total liabilities / total assets,"Used to assess leverage, solvency, and balance-sheet risk.",A higher value may indicate greater leverage and less financial flexibility.,A lower value may indicate less leverage or a stronger asset cushion.,"A rising trend can indicate increasing balance-sheet risk, especially if margins are negative.",Facility balance sheets can be affected by ownership structure and related-party arrangements.,hcris_puf,solvency,True,15
average_daily_census,Average daily census,number,Utilization,True,Average number of occupied beds per day during the cost-reporting period.,Total resident days / report days used for rates,Shows absolute census level and complements occupancy rate.,"Higher census generally indicates greater use of staffed capacity, subject to facility size.",Lower census may indicate unused capacity or a smaller operating footprint.,Changes help distinguish census movement from bed-capacity changes.,Compare with licensed/available beds and report-period quality.,hcris_puf,operations,True,16
revenue_expense_spread_per_day,Revenue-expense spread per resident day,dollar,Margin,True,Difference between net patient revenue per resident day and operating expense per resident day.,Net patient revenue per day - operating expense per day,Provides an intuitive unit-economics view of revenue versus operating expense.,A larger positive spread generally indicates stronger unit economics.,A negative spread indicates operating expense exceeds patient revenue per resident day.,A narrowing spread may signal reimbursement or cost pressure.,Does not include every source of income or non-operating item.,hcris_puf,financial,True,17
net_income_per_day,Net income per resident day,dollar,Margin,True,Reported net income divided by total resident days.,Net income / total resident days,Expresses bottom-line results on a resident-day basis.,Higher positive values indicate stronger bottom-line performance per resident day.,Negative values indicate net losses on a resident-day basis.,Useful for seeing whether bottom-line performance is improving independent of census.,"Can be affected by non-patient revenue, ownership structure, and accounting choices.",hcris_puf,financial,True,18
total_labor_cost_per_day,Total labor cost per resident day,dollar,Labor,False,"Visible salary, wage-related, and contract labor costs per resident day.",(Adjusted salaries + wage-related costs + contract labor) / total resident days,Summarizes visible labor-cost intensity for peer comparison.,"Higher values may indicate wage pressure, staffing intensity, agency use, acuity, or inefficiency.",Lower values may reflect efficiency or lower labor intensity and should be checked against staffing and quality.,"A rising trend may indicate wage inflation, staffing changes, or agency pressure.","This is a cost-report financial measure, not a complete labor accounting or staffing-hours measure.",hcris_puf,labor,True,19
labor_cost_share_of_operating_expense,Labor cost share of operating expense,percent,Labor,False,Visible labor costs as a share of reported operating expense.,Total visible labor cost / operating expense,Shows how much of the operating cost structure is attributable to visible labor categories.,A higher share can indicate labor-heavy operations or labor-market pressure.,A lower share can indicate a different cost structure but is not automatically better.,Changes can reveal whether labor is becoming a larger or smaller portion of operating cost.,Cost-report classifications and missing labor components can affect comparability.,hcris_puf,labor,True,20
wage_related_cost_ratio,Wage-related cost ratio,percent,Labor,False,Wage-related costs relative to adjusted salary expense.,Wage-related costs / adjusted salaries,Provides context on benefits/payroll-related burden relative to direct salaries.,Higher values indicate more wage-related cost per salary dollar.,Lower values indicate less reported wage-related cost per salary dollar.,"A rising trend may indicate benefit, payroll tax, or other wage-related cost pressure.",Interpretation depends on cost-report classification and completeness.,hcris_puf,labor,True,21
