metric,label,format,domain,higher_is_better,display_in_dashboard,display_priority,formula,definition,strategic_use,high_value_interpretation,low_value_interpretation,trend_interpretation,caveats,source_layer,module
net_income_per_day,Net income per resident day,dollar,Margin,TRUE,TRUE,120,Net income / total resident days,Net income normalized by resident days.,Shows financial result in an operating unit that is easy to compare across facilities.,Higher value indicates more surplus per resident day.,Lower or negative value indicates financial pressure per resident day.,Trend can reveal improvement/deterioration even when percentages are noisy.,Affected by accounting and non-patient income; pair with patient service margin.,current_public_puf_api,Financials
salary_cost_per_day,Salary cost per resident day,dollar,Labor,FALSE,TRUE,130,Adjusted salaries / total resident days,Adjusted salary expense divided by total resident days.,Assesses direct labor cost intensity and staffing-cost pressure.,"Higher value may indicate higher staffing levels, wages, acuity, or labor-market pressure.","Lower value may reflect efficiency, lower wage markets, lower staffing intensity, or possible underinvestment.","Rising trend may indicate wage inflation, staffing changes, or acuity changes.",Cost-report salary data does not directly measure staffing hours or quality; PBJ should be added later.,current_public_puf_api,Labor cost
contract_labor_per_day,Contract labor per resident day,dollar,Labor,FALSE,TRUE,140,Contract labor / total resident days,Contract labor expense divided by total resident days.,Assesses agency or contracted labor cost pressure per resident day.,"Higher value may signal staffing shortages, agency reliance, or temporary labor-market disruption.",Lower value may indicate limited contract-labor reliance or stronger employee staffing stability.,Rising trend may be an early signal of staffing stress or wage pressure.,Some contract labor can be normal or temporary; pair with PBJ and local labor-market context.,current_public_puf_api,Labor cost
contract_labor_ratio,Contract labor ratio,percent,Labor,FALSE,TRUE,150,Contract labor / (adjusted salaries + contract labor),Contract labor as a share of combined adjusted salaries and contract labor.,Assesses workforce instability and reliance on agency/contracted staffing.,"Higher value may indicate staffing shortages, retention problems, agency dependence, or labor-market stress.",Lower value may indicate more stable employed staffing or less agency dependence.,Rising trend is often a warning sign for operating cost and staffing stability.,Financial proxy only; PBJ staffing-hours data should be added for stronger operations analysis.,current_public_puf_api,Labor cost
total_labor_cost_per_day,Total labor cost per resident day,dollar,Labor,FALSE,TRUE,160,(Adjusted salaries + wage-related costs + contract labor) / total resident days,"Combined reported labor, wage-related, and contract labor cost per resident day.",Broader labor-cost pressure measure than salaries alone.,"Higher value may reflect wage pressure, benefits burden, contract labor, acuity, or staffing intensity.","Lower value may reflect efficiency, lower wages, or possible underinvestment.",Rising trend may signal labor inflation or increasing agency/benefit costs.,Uses public-use-file labor fields; detailed direct-care labor requires raw HCRIS.,current_public_puf_api,Labor cost
labor_cost_share_of_operating_expense,Labor cost share of operating expense,percent,Labor,FALSE,TRUE,170,(Adjusted salaries + wage-related costs + contract labor) / operating expense,Share of operating expense attributable to broad labor-cost fields.,Shows whether cost pressure is primarily labor-driven.,Higher share suggests labor is a major cost driver.,"Lower share suggests other costs, overhead, or capital may be more important.",Trend helps identify whether labor cost pressure is growing.,Broad proxy; public-use-file labor categories may not perfectly isolate direct care labor.,current_public_puf_api,Labor cost
wage_related_cost_ratio,Wage-related cost ratio,percent,Labor,FALSE,TRUE,180,Wage-related costs / adjusted salaries,Wage-related costs as a share of adjusted salaries.,"Proxy for benefits, payroll taxes, and other wage-related burden.",Higher value suggests heavier benefit/payroll burden or accounting allocation differences.,Lower value suggests lower wage-related burden or different reporting practices.,Rising trend can contribute to labor cost pressure even without salary growth.,Should be reviewed with salary and contract labor metrics.,current_public_puf_api,Labor cost
days_cash_on_hand,Days cash on hand,number,Liquidity,TRUE,TRUE,190,Cash / (operating expense / report days),Estimated days the facility could cover operating expenses using reported cash.,Assesses liquidity cushion and short-term financial resilience.,Higher value suggests stronger liquidity cushion.,Lower value may indicate financial fragility or limited cash reserves.,Declining trend can signal weakening liquidity even before margins deteriorate.,"Balance-sheet values can be affected by timing, ownership, related parties, and accounting practices.",current_public_puf_api,Liquidity
current_ratio,Current ratio,number,Liquidity,TRUE,TRUE,200,Current assets / current liabilities,Current assets divided by current liabilities.,Evaluates short-term ability to cover obligations due within a year.,Higher value generally suggests stronger short-term liquidity.,Lower value may signal near-term financial pressure or limited working capital.,Declining trend can indicate growing liquidity risk.,"Interpret with days cash, payables, accounts receivable, and ownership context.",current_public_puf_api,Liquidity
days_accounts_receivable,Days accounts receivable,number,Liquidity,FALSE,TRUE,210,Accounts receivable / (net patient revenue / report days),Estimated days of net patient revenue tied up in accounts receivable.,"Assesses billing, collection timing, and working-capital pressure.","Higher value may indicate slower collections, payer delays, or billing issues.",Lower value may suggest faster collections or less receivables-intensive payer mix.,Rising trend can increase cash pressure even when reported revenue is stable.,Receivables reflect timing and accounting practices; interpret with payer mix and revenue cycle context.,current_public_puf_api,Liquidity
debt_to_assets,Debt to assets,percent,Solvency,FALSE,TRUE,220,Total liabilities / total assets,Total liabilities as a share of total assets.,"Assesses leverage, solvency, and balance-sheet risk.",Higher value may indicate greater leverage and less financial flexibility.,Lower value may indicate less leverage or stronger asset cushion.,"Rising trend can indicate increasing balance-sheet risk, especially with negative margins.",Facility balance sheets can be affected by ownership structure and related-party arrangements.,current_public_puf_api,Liquidity
